ability_1,ability_10,ability_11,ability_12,ability_13,ability_14,ability_15,ability_16,ability_17,ability_18,ability_19,ability_2,ability_20,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It doesn’t change form if it dies.,"Variant: Shed Skin (1/Day).;; The yuan-ti can shed its skin as a bonus action to free itself from a grapple, shackles, or other restraints. If the yuan-ti spends 1 minute eating its shed skin, it regains hit points equal to half its hit point maximum.",Multiattack (Yuan-ti Form Only).;; The yuan-ti makes two bite attacks using its snake arms.,"Bite.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4+3) piercing damage plus 7 (2d6) poison damage.",Merrshaulk’s Slumber (1/Day).;; The yuan-ti targets up to five creatures that it can see within 60 feet of it. Each target must succeed on a DC 13 Constitution saving throw or fall into a magical sleep and be unconscious for 10 minutes. A sleeping target awakens if it takes damage or if someone uses an action to shake or slap it awake. This magical sleep has no effect on a creature immune to being charmed.,,,,,,,"Innate Spellcasting (Yuan-ti Form Only).;; The yuan-ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only) 3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,"Poison’s Disciple (2/Day).;; The first time the yuan-ti hits with a melee attack on its turn, it can deal an extra 16 (3d10) poison damage to the target.","Spellcasting (Yuan-ti Farm Only).;; The yuan-ti is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It regains its expended spell slots when it finishes a short or long rest. It knows the following warlock spells:","||ADDENDUM||Cantrips (at will): eldritch blast (range 300 ft., +3 bonus to each damage roll), friends, guidance, mage hand, message, poison spray","||ADDENDUM||1st-3rd level (2 3rd-level slots): command, counterspell, hellish rebuke, invisibility, misty step, unseen servant, vampiric touch",Variant: Chameleon Skin.;; The yuan-ti has advantage on Dexterity (Stealth) checks made to hide.,14 (natural armor),"5 (1,800 XP)",16 (+3),poisoned,13 (+1),poison,,14 (+2),88 (16d8+16),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Pit Master,"Wis +3, Cha +5",darkvision 120 ft. (penetrates magical darkness),"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-pit-master,12 (+1)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. If it dies, it stays in its current form.","Variant: Shed Skin (1/Day).;; The yuan-ti can shed its skin as a bonus action to free itself from a grapple, shackles, or other restraints. If the yuan-ti spends 1 minute eating its shed skin, it regains hit points equal to half its hit point maximum.",Multiattack (Yuan-ti Form Only).;; The yuan-ti makes one constrict attack and one scimitar attack.,"Constrict.;; Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 10 (2d6+3) bludgeoning damage, and the target is grappled (escape DC 14) if it is a Large or smaller creature. Until this grapple ends, the target is restrained, and the yuan-ti can’t constrict another target.","Scimitar (Yuan-ti Form Only).;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6+3) slashing damage.","Invoke Nightmare (Recharges after a Short or Long Rest).;; The yuan-ti taps into the nightmares of a creature it can see within 60 feet of it and creates an illusory, immobile manifestation of the creature’s deepest fears, visible only to that creature. The target must make a DC 13 Intelligence saving throw. On a failed save, the target takes 11 (2d10) psychic damage and is frightened of the manifestation, believing it to be real. The yuan-ti must concentrate to maintain the illusion (as if concentrating on a spell), which lasts for up to 1 minute and can’t be harmed. The target can repeat the saving throw at the end of each of its turns, ending the illusion on a success, or taking 11 (2d10) psychic damage on a failure.",,,,,,"Death Fangs (2/Day).;; The first time the yuan-ti hits with a melee attack on its turn, it can deal an extra 16 (3d10) necrotic damage to the target.",,"Innate Spellcasting (Yuan-ti Form Only).;; The yuan-ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:",||ADDENDUM||At will: animal friendship (snakes only) 3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,"Spellcasting (Yuan-ti Form Only).;; The yuan-ti is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It regains its expended spell slots when it finishes a short or long rest. It knows the following warlock spells:","||ADDENDUM||Cantrip (at will): chill touch, eldritch blast (range 300 ft., +3 bonus to each damage roll), mage hand, message, poison spray, prestidigitation","||ADDENDUM||1st-3rd level (2 3rd-level slots): arms of Hadar, darkness, fear, hex, hold person, hunger of Hadar, witch bolt",Variant: Chameleon Skin.;; The yuan-ti has advantage on Dexterity (Stealth) checks made to hide.,14 (natural armor),"4 (1,100 XP)",16 (+3),poisoned,13 (+1),poison,,14 (+2),71 (13d8+13),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Nightmare Speaker,"Wis +3, Cha +5",darkvision 120 ft. (penetrates magical darkness),"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-nightmare-speaker,12 (+1)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. If it dies, it stays in its current form.","Sseth’s Blessing.;; When the yuan-ti reduces an enemy to 0 hit points, the yuan-ti gains 9 temporary hit points.",Variant: Chameleon Skin.;; The yuan-ti has advantage on Dexterity (Stealth) checks made to hide.,"Variant: Shed Skin (1/Day).;; The yuan-ti can shed its skin as a bonus action to free itself from a grapple, shackles, or other restraints. If the yuan-ti spends 1 minute eating its shed skin, it regains hit points equal to half its hit point maximum.",Multiattack (Yuan-ti Form Only).;; The yuan-ti makes one bite attack and one scimitar attack.,"Bite.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4+3) piercing damage plus 7 (2d6) poison damage.","Scimitar (Yuan-ti Form Only).;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6+3) slashing damage.",,,,,"Innate Spellcasting (Yuan-ti Form Only).;; The yuan-ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only),||ADDENDUM||3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,"Mind Fangs (2/Day).;; The first time the yuan-ti hits with a melee attack on its turn, it can deal an extra 16 (3d10) psychic damage to the target.","Spellcasting (Yuan-ti Form Only).;; The yuan-ti is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It regains its expended spell slots when it finishes a short or long rest. It knows the following warlock spells:","||ADDENDUM||Cantrips (at will): eldritch blast (range 300 ft., +3 bonus to each damage roll),friends, message, minor illusion, poison spray, prestidigitation","||ADDENDUM||1st-3rd level (2 3rd-level slots): charm person, crown of madness, detect thoughts, expeditious retreat, fly, hypnotic pattern, illusory script",14 (natural armor),"4 (1,100 XP)",16 (+3),poisoned,13 (+1),poison,,14 (+2),71 (13d8+13),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Mind Whisperer,"Wis +4, Cha +5",darkvision 120 ft. (penetrates magical darkness),"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-mind-whisperer,12 (+1)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It doesn’t change form if it dies.","Multiattack (Yuan_ti Form Only).;; The yuan_ti makes two ranged attacks or two melee attacks, but can constrict only once.","Bite (Snake Form Only).;; Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.","Constrict.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the yuan_ti can’t constrict another target.","Scimitar (Yuan_ti Form Only).;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","Longbow (Yuan_ti Form Only).;; Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,"Innate Spellcasting (Yuan_ti Form Only).;; The yuan_ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan_ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only),||ADDENDUM||3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,Malison Type.;; The yuan_ti has one of the following types:,||ADDENDUM||Type 1: Human body with snake head,||ADDENDUM||Type 2: Human head and body with snakes for arms,||ADDENDUM||Type 3: Human head and upper body with a serpentine lower body instead of legs,12,3 (700 XP),16 (+3),poisoned,13 (+1),poison,,14 (+2),66 (12d8+12),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Malison Type 3,,darkvision 60 ft.,"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-malison-type-3,12 (+1)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It doesn’t change form if it dies.",Multiattack (Yuan_ti Form Only).;; The yuan_ti makes two bite attacks using its snake arms.,"Bite.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.",,,,,,,,,"Innate Spellcasting (Yuan_ti Form Only).;; The yuan_ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan_ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only),||ADDENDUM||3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,Malison Type.;; The yuan_ti has one of the following types:,||ADDENDUM||Type 1: Human body with snake head,||ADDENDUM||Type 2: Human head and body with snakes for arms,||ADDENDUM||Type 3: Human head and upper body with a serpentine lower body instead of legs,12,3 (700 XP),16 (+3),poisoned,13 (+1),poison,,14 (+2),66 (12d8+12),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Malison Type 2,,darkvision 60 ft.,"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-malison-type-2,12 (+1)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Medium snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It doesn’t change form if it dies.","Multiattack (Yuan_ti Form Only).;; The yuan_ti makes two ranged attacks or two melee attacks, but can use its bite only once.","Bite.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.","Scimitar (Yuan_ti Form Only).;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","Longbow (Yuan_ti Form Only).;; Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage plus 7 (2d6) poison damage.",,,,,,,"Innate Spellcasting (Yuan_ti Form Only).;; The yuan_ti’s innate spellcasting ability is Charisma (spell save DC 13). The yuan_ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only),||ADDENDUM||3/day: suggestion,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,Malison Type.;; The yuan_ti has one of the following types:,||ADDENDUM||Type 1: Human body with snake head,||ADDENDUM||Type 2: Human head and body with snakes for arms,||ADDENDUM||Type 3: Human head and upper body with a serpentine lower body instead of legs,12,3 (700 XP),16 (+3),poisoned,13 (+1),poison,,14 (+2),66 (12d8+12),14 (+2),"Abyssal, Common, Draconic",,Yuan-ti Malison Type 1,,darkvision 60 ft.,"Medium monstrosity (shapechanger, yuan-ti)","Deception +5, Stealth +4",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/yuan-ti-malison-type-1,12 (+1)
"Mental Resistance.;; The broodguard has advantage on saving throws against being charmed, and magic can’t paralyze it.",,,,,,,,,,,"Reckless.;; At the start of its turn, the broodguard can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.",,Variant: Chameleon Skin.;; The yuan-ti has advantage on Dexterity (Stealth) checks made to hide.,"Variant: Shed Skin (1/Day).;; The yuan-ti can shed its skin as a bonus action to free itself from a grapple, shackles, or other restraints. If the yuan-ti spends 1 minute eating its shed skin, it regains hit points equal to half its hit point maximum.",Multiattack.;; The broodguard makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8+2) piercing damage.","Claws.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) slashing damage.",,,14 (natural armor),2 (450 XP),4 (-3),poisoned,14 (+2),poison,,14 (+2),45 (7d8+14),6 (-2),"Abyssal, Common, Draconic",,Yuan-ti Broodguard,"Str +4, Dex +4, Wis +2",darkvision 60 ft.,"Medium humanoid (yuan-ti), neutral evil",Perception +2,30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/yuan-ti-broodguard,11 (0)
"Innate Spellcasting (Anathema Form Only).;; The anathema’s innate spellcasting ability is Charisma (spell save DC 17). It can innately cast the following spells, requiring no material components:",Variant: Chameleon Skin.;; The yuan-ti has advantage on Dexterity (Stealth) checks made to hide.,"Variant: Shed Skin (1/Day).;; The yuan-ti can shed its skin as a bonus action to free itself from a grapple, shackles, or other restraints. If the yuan-ti spends 1 minute eating its shed skin, it regains hit points equal to half its hit point maximum.","Multiattack (Anathema Form Only).;; The anathema makes two claw attacks, one constrict attack, and one Flurry of Bites attack.","Claw (Anathema Form Only).;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 13 (2d6+6) slashing damage.","Constrict.;; Melee Weapon Attack: +10 to hit, reach 15 ft., one Large or smaller creature. Hit: 16 (3d6+6) bludgeoning damage plus 7 (2d6) acid damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained and takes 16 (3d6+6) bludgeoning damage plus 7 (2d6) acid damage at the start of each of its turns, and the anathema can’t constrict another target.","Flurry of Bites.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one creature. Hit: 27 (6d6+6) piercing damage plus 14 (4d6) poison damage.",,,,,||ADDENDUM||At will: animal friendship (snakes only),,"||ADDENDUM||3/day each: darkness, entangle, fear, haste, suggestion, polymorph",||ADDENDUM||1/day: divine word,Magic Resistance.;; The anathema has advantage on saving throws against spells and other magical effects.,"Ophidiophobia Aura.;; Any creature of the anathema’s choice, other than a snake or a yuan-ti, that starts its turn within 30 feet of the anathema and can see or hear it must succeed on a DC 17 Wisdom saving throw or become frightened of snakes and yuan-ti. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target’s saving throw is successful or the effect ends for it, the target is immune to this aura for the next 24 hours.","Shapechanger.;; The anathema can use its action to polymorph into a Huge giant constrictor snake, or back into its true form. its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed.","Six Heads.;; The anathema has advantage on Wisdom (Perception) checks and on saving throws against being blinded. charmed, deafened, frightened, stunned, or knocked unconscious.","Variant: Acid Slime.;; As a bonus action, the yuan-ti can coat its body in a slimy acid that lasts for 1 minute. A creature that touches the yuan-ti, hits it with a melee attack while within 5 feet of it, or is hit by its constrict attack takes 5 (1d10) acid damage.",16 (natural armor),"12 (8,400 XP)",20 (+5),poisoned,19 (+4),poison,"acid, fire, lightning",13 (+1),189 (18d12+72),19 (+4),"Abyssal, Common, Draconic",,Yuan-ti Anathema,,darkvision 60 ft.,"Huge monstrosity (shapechanger, yuan-ti)","Perception +7, Stealth +5","40 ft., climb 30 ft., swim 30 ft.",23 (+6),http://chisaipete.github.io/bestiary/creature/yuan-ti-anathema,17 (+3)
"Shapechanger.;; The yuan-ti can use its action to polymorph into a Large snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It doesn’t change form if it dies.","Scimitar (Abomination Form Only).;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","Longbow (Abomination Form Only).;; Ranged Weapon Attack: +6 to hit, range 150/600 ft., one target. Hit: 12 (2d8 + 3) piercing damage plus 10 (3d6) poison damage.",,,,,,,,,"Innate Spellcasting (Abomination Form Only).;; The yuan_ti’s innate spellcasting ability is Charisma (spell save DC 15). The yuan_ti can innately cast the following spells, requiring no material components:",,||ADDENDUM||At will: animal friendship (snakes only),||ADDENDUM||3/day: suggestion,||ADDENDUM||1/day: fear,Magic Resistance.;; The yuan-ti has advantage on saving throws against spells and other magical effects.,"Multiattack (Abomination Form Only).;; The yuan_ti makes two ranged attacks or three melee attacks, but can use its bite and constrict attacks only once each.","Bite.;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) poison damage.","Constrict.;; Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, and the yuan_ti can’t constrict another target.",15 (natural armor),"7 (2,900 XP)",18 (+4),poisoned,17 (+3),poison,,16 (+3),127 (15d10+45),17 (+3),"Abyssal, Common, Draconic",,Yuan-ti Abomination,,darkvision 60 ft.,"Large monstrosity (shapechanger, yuan-ti)","Perception +5, Stealth +6",40 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/yuan-ti-abomination,15 (+2)
"Ice Walk.;; The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.",,,,,,,,,,,Multiattack.;; The dragon makes three attacks: one with its bite and two with its claws.,,"Bite.;; Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 4 (1d8) cold damage.","Claw.;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","Cold Breath (Recharge 5-6).;; The dragon exhales an icy blast in a 30-foot cone. Each creature in that area must make a DC 15 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.",,,,,17 (natural armor),"6 (2,300 XP)",12 (+1),,18 (+4),cold,,10 (0),133 (14d10+56),6 (-2),"Common, Draconic",,Young White Dragon,"Dex +3, Con +7, Wis +3, Cha +4","blindsight 30 ft., darkvision 120 ft.","Large dragon, chaotic evil","Perception +6, Stealth +3","40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/young-white-dragon,11 (0)
Multiattack.;; The dragon makes three attacks: one with its bite and two with its claws.,,,,,,,,,,,"Bite.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.",,"Claw.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",Breath Weapons (Recharge 5-6).;; The dragon uses one of the following breath weapons.,"||ADDENDUM||Cold Breath. The dragon exhales an icy blast in a 30-foot cone. Each creature in that area must make a DC 17 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||Paralyzing Breath. The dragon exhales paralyzing gas in a 30-foot cone. Each creature in that area must succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,18 (natural armor),"9 (5,000 XP)",19 (+4),,21 (+5),cold,,10 (0),168 (16d10+80),14 (+2),"Common, Draconic",,Young Silver Dragon,"Dex +4, Con +9, Wis +4, Cha +8","blindsight 30 ft., darkvision 120 ft.","Large dragon, lawful good","Arcana +6, History +6, Perception +8, Stealth +4","40 ft., fly 80 ft.",23 (+6),http://chisaipete.github.io/bestiary/creature/young-silver-dragon,11 (0)
Heated Body.;; A creature that touches the remorhaz or hits it with a melee attack while within 5 feet of it takes 7 (2d6) fire damage.,,,,,,,,,,,"Bite.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 20 (3d10 + 4) piercing damage plus 7 (2d6) fire damage.",,,,,,,,,14 (natural armor),"5 (1,800 XP)",4 (-3),,17 (+3),"cold, fire",,13 (+1),93 (11d10+33),3 (-4),,,Young Remorhaz,,"darkvision 60 ft., tremorsense 60 ft.","Large monstrosity, unaligned",,"30 ft., burrow 20 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/young-remorhaz,10 (0)
"Living Shadow.;; While in dim light or darkness, the dragon has resistance to damage that isn’t force, psychic, or radiant.",,,,,,,,,,,"Shadow Stealth.;; While in dim light or darkness, the dragon can take the Hide action as a bonus action.",,"Sunlight Sensitivity.;; While in sunlight, the dragon has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",Multiattack.;; The dragon makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 3 (1d6) necrotic damage.","Claw.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.","Shadow Breath (Recharge 5-6).;; The dragon exhales shadowy fire in a 30-foot cone. Each creature in that area must make a DC 18 Dexterity saving throw, taking 56 (16d6) necrotic damage on a failed save, or half as much damage on a successful one. A humanoid reduced to 0 hit points by this damage dies, and an undead shadow rises from its corpse and acts immediately after the dragon in the initiative count. The shadow is under the dragon’s control.",,,18 (natural armor),"13 (10,000 XP)",19 (+4),,21 (+5),fire,necrotic,10 (0),178 (17d10+85),14 (+2),"Common, Draconic",,Young Red Shadow Dragon,"Dex +4, Con +9, Wis +4, Cha +8","blindsight 30 ft., darkvision 120 ft.","Large dragon, chaotic evil","Perception +8, Stealth +8","40 ft., climb 40 ft., fly 80 ft.",23 (+6),http://chisaipete.github.io/bestiary/creature/young-red-shadow-dragon,11 (0)
Multiattack.;; The dragon makes three attacks: one with its bite and two with its claws.,,,,,,,,,,,"Bite.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 3 (1d6) fire damage.",,"Claw.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.","Fire Breath (Recharge 5-6).;; The dragon exhales fire in a 30-foot cone. Each creature in that area must make a DC 17 Dexterity saving throw, taking 56 (16d6) fire damage on a failed save, or half as much damage on a successful one.",,,,,,18 (natural armor),"10 (5,900 XP)",19 (+4),,21 (+5),fire,,10 (0),178 (17d10+85),14 (+2),"Common, Draconic",,Young Red Dragon,"Dex +4, Con +9, Wis +4, Cha +8","blindsight 30 ft., darkvision 120 ft.","Large dragon, chaotic evil","Perception +8, Stealth +4","40 ft., climb 40 ft., fly 80 ft.",23 (+6),http://chisaipete.github.io/bestiary/creature/young-red-dragon,11 (0)
Keen Smell.;; The kruthik has advantage on Wisdom (Perception) checks that rely on smell.,,,,,,,,,,,Pack Tactics.;; The kruthik has advantage on an attack roll against a creature if at least one of the kruthik’s allies is within 5 feet of the creature and the ally isn’t incapacitated.,,Tunneler.;; The kruthik can burrow through solid rock at half its burrowing speed and leaves a 2 1/2-foot-diameter tunnel in its wake.,"Stab;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",,,,,,16 (natural armor),1/8 (25 XP),6 (-2),,13 (+1),,,16 (+3),9  (2d6 + 2),4 (-3),Kruthik,,Young Kruthik,,"darkvision 30 ft., tremorsense 60 ft., passive Perception 10","Small monstrosity, unaligned",,"30 ft., burrow 10 ft., climb 30 ft.",13 (+1),http://chisaipete.github.io/bestiary/creature/young-kruthik,10 (0)
Amphibious.;; The dragon can breathe air and water.,,,,,,,,,,,Multiattack.;; The dragon makes three attacks: one with its bite and two with its claws.,,"Bite.;; Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 7 (2d6) poison damage.","Claw.;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","Poison Breath (Recharge 5-6).;; The dragon exhales poisonous gas in a 30-foot cone. Each creature in that area must make a DC 14 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one.",,,,,18 (natural armor),"8 (3,900 XP)",15 (+2),poisoned,17 (+3),poison,,12 (+1),136 (16d10+48),16 (+3),"Common, Draconic",,Young Green Dragon,"Dex +4, Con +6, Wis +4, Cha +5","blindsight 30 ft., darkvision 120 ft.","Large dragon, lawful evil","Deception +5, Perception +7, Stealth +4","40 ft., fly 80 ft., swim 40 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/young-green-dragon,13 (+1)
