actions,armor_class,challenge,charisma,constitution,dexterity,hit_points,intelligence,languages,name,short_desc,skills,speed,strength,url,wisdom
" cold, lightning, necrotic| charmed, exhaustion, frightened, paralyzed, poisoned| If the lich fails a saving throw, it can choose to succeed instead.| If it has a phylactery, a destroyed lich gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery.| The lich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). The lich has the following wizard spells prepared:| The lich has advantage on saving throws against any effect that turns undead.| Melee Spell Attack: +12 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.|The lich can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The lich regains spent legendary actions at the start of its turn.| The lich casts a cantrip.| The lich uses its Paralyzing Touch.| The lich fixes its gaze on one creature it can see within 10 feet of it. The target must succeed on a DC 18 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target’s saving throw is successful or the effect ends for it, the target is immune to the lich’s gaze for the next 24 hours.| Each non-undead creature within 20 feet of the lich must make a DC 18 Constitution saving throw against this magic, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.",17 (natural armor),"Arcana +18, History +12, Insight +9, Perception +9",16 (+3),16 (+3),16 (+3),135 (18d8+54),20 (+5),truesight 120 ft.,Lich,"Medium undead, any evil alignment","poison, bludgeoning, piercing, and slashing from nonmagical weapons",30 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/lich,14 (+2)
" bludgeoning, piercing, and slashing from nonmagical attacks| exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned| If the leviathan fails a saving throw, it can choose to succeed instead.| If the leviathan takes 50 cold damage or more during a single turn, the leviathan partially freezes; until the end of its next turn, its speeds are reduced to 20 feet, and it makes attack rolls with disadvantage.| The leviathan deals double damage to objects and structures (included in Tidal Wave).| The leviathan can enter a hostile creature’s space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.| The leviathan makes two attacks: one with its slam and one with its tail.| Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 15 (1d10 + 10) bludgeoning damage plus 5 (1d10) acid damage.| Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 16 (1d12 + 10) bludgeoning damage plus 6 (1d12) acid damage.| While submerged, the leviathan magically creates a wall of water centered on itself. The wall is up 250 feet long, up to 250 feet high, and up to 50 feet thick. When the wall appears, all other creatures within its area must each make a DC 24 Strength saving throw. A creature takes 33 (6d10) bludgeoning damage on failed save, or half as much damage on a successful one.
At the start of each of the leviathan’s turns after the wall appears, the wall, along with any other creatures in it, moves 50 feet away from the leviathan. Any Huge or smaller creature inside the wall or whose space the wall enters when it moves must succeed on a DC 24 Strength saving throw or take 27 (5d10) bludgeoning damage. A creature takes this damage no more than once on a turn. At the end of each turn the wall moves, the wall’s height is reduced by 50 feet, and the damage creatures take from the wall on subsequent rounds is reduced by 1d10. When the wall reaches 0 feet in height, the effect ends.
A creature caught in the wall can move by swimming. Because of the force of the wave, though, the creature must make a successful DC 24 Strength (Athletics) check to swim at all during that turn.|The leviathan can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The leviathan regains spent legendary actions at the start of its turn.| The leviathan makes one slam attack.| The leviathan moves up to its speed.",17,-,17 (+3),30 (+10),24 (+7),328  (16d20 + 160),2 (-4),"darkvision 60 ft., passive Perception 14",Leviathan,"Gargantuan elemental, neutral","acid, poison","40 ft., swim 120 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/leviathan,18 (+4)
" The leucrotta has advantage on Wisdom (Perception) checks that rely on smell.| If the leucrotta attacks with its hooves, it can take the Disengage action as a bonus action.| The leucrotta can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.| When the leucrotta reduces a creature to 0 hit points with a melee attack on its turn, it can take a bonus action to move up to half its speed and make an attack with its hooves.| The leucrotta makes two attacks: one with its bite and one with its hooves.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage. If the leucrotta scores a critical hit, it rolls the damage dice three times, instead of twice.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6+4) bludgeoning damage.",14 (natural armor),"Abyssal, Gnoll",6 (-2),15 (+2),14 (+2),67 (9d10+18),9 (-1),"Deception +2, Perception +3",Leucrotta,"Large monstrosity, chaotic evil",darkvision 60 ft.,50 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/leucrotta,12 (+1)
" cold| charmed, frightened, poisoned| Magical darkness doesn’t impede the lemure’s darkvision.| A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage",7,understands infernal but can't speak,3 (-4),11 (0),5 (-3),13 (3d8),1 (-5),darkvision 120 ft.,Lemure,"Medium fiend (devil), lawful evil","fire, poison",15 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/lemure,11 (0)
" The lamia’s innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components. At will: disguise self (any humanoid form), major image 3/day each: charm person, mirror image, scrying, suggestion 1/day: geas| The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (2d10 + 3) slashing damage.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.| Melee Spell Attack: +5 to hit, reach 5 ft., one creature. Hit: The target is magically cursed for 1 hour. Until the curse ends, the target has disadvantage on Wisdom saving throws and all ability checks.",13 (natural armor),"Abyssal, Common",16 (+3),15 (+2),13 (+1),97 (13d10+26),14 (+2),"Deception +7, Insight +4, Stealth +3",Lamia,"Large monstrosity, chaotic evil",darkvision 60 ft.,30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/lamia,15 (+2)
" The kuo-toa can breathe air and water.| The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.| The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.| While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.| Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.| Ranged Weapon Attack: +3 to hit, range 5/15 ft., one Large or smaller creature. Hit: The target is restrained. A creature can use its action to make a DC 10 Strength check to free itself or another creature in a net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 10) frees the target without harming it and destroys the net.| When a creature misses the kuo-toa with a melee weapon attack, the kuo-toa uses its sticky shield to catch the weapon. The attacker must succeed on a DC 11 Strength saving throw, or the weapon becomes stuck to the kuo-toa’s shield. If the weapon’s wielder can’t or won’t let go of the weapon, the wielder is grappled while the weapon is stuck. While stuck, the weapon can’t be used. A creature can pull the weapon free by taking an action to make a DC 11 Strength check and succeeding.","13 (natural armor, shield)",Undercommon,8 (-1),11 (0),10 (0),18 (4d8),11 (0),Perception +4,Kuo-Toa,"Medium humanoid (kuo-toa), neutral evil",darkvision 120 ft.,"30 ft., swim 30 ft.",13 (+1),http://chisaipete.github.io/bestiary/creature/kuo-toa,10 (0)
" frightened, paralyzed| The kraken can breathe air and water.| The kraken ignores difficult terrain, and magical effects can’t reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled.| The kraken deals double damage to objects and structures.| The kraken makes three tentacle attacks, each of which it can replace with one use of Fling.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 23 (3d8 + 10) piercing damage. If the target is a Large or smaller creature grappled by the kraken, that creature is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 42 (12d6) acid damage at the start of each of the kraken’s turns. If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the kraken. If the kraken dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone.| Melee Weapon Attack: +7 to hit, reach 30 ft., one target. Hit: 20 (3d6 + 10) bludgeoning damage, and the target is grappled (escape DC 18). Until this grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target.| One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone.| The kraken magically creates three bolts of lightning, each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.|The kraken can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The kraken regains spent legendary actions at the start of its turn.| The kraken makes one tentacle attack or uses its Fling.| The kraken uses Lightning Storm.| While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken’s next turn.",18 (natural armor),"understands Abyssal, Celestial, Infernal, and Primordial but can't speak, telepathy 120 ft.",20 (+5),25 (+7),11 (0),472 (27d20+189),22 (+6),truesight 120 ft.,Kraken,"Gargantuan monstrosity (titan), chaotic evil","lightning, bludgeoning, piercing, and slashing from nonmagical weapons","20 ft., swim 60 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/kraken,18 (+4)
" bludgeoning, piercing, and slashing from nonmagical attacks| The korred has at least one 50-foot-long rope woven out of its hair. As a bonus action, the korred commands one such rope within 30 feet of it to move up to 20 feet and entangle a Large or smaller creature that the korred can see. The target must succeed on a DC 13 Dexterity saving throw or become grappled by the rope (escape DC 13). Until this grapple ends. the target is restrained. The korred can use a bonus action to release the target, which is also freed if the korred dies or becomes incapacitated.| The korred’s innate spellcasting ability is Wisdom (save DC 13). It can innately cast the following spells, requiring no components:|At will: commune with nature, meld into stone, stone shape|1/day each: conjure elemental (as 6th-level spell; galeb duhr, gargoyle, earth elemental, or xorn only), Otto’s irresistible dance| The korred has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.| While on the ground, the korred deals 2 extra dice of damage with any weapon attack (included in its attacks).| The korred makes two attacks with its greatclub or hurls two rocks.| Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 10 (1d8+6) bludgeoning damage, or 19 (3d8+6) bludgeoning damage if the korred is on the ground.| Ranged Weapon Attack: +9 to hit, range 60/120 ft., one target. Hit: 15 (2d8+6) bludgeoning damage, or 24 (4d8+6) bludgeoning damage if the korred is on the ground.",17 (natural armor),"Dwarvish, Gnomish, Sylvan, Terran, Undercommon",9 (-1),20 (+5),14 (+2),102 (12d6+60),10 (0),"Athletics +9, Perception +5, Stealth +5",Korred,"Small fey, chaotic neutral","darkvision 120 ft., tremorsense 120 ft.","30 ft., burrow 30 ft.",23 (+6),http://chisaipete.github.io/bestiary/creature/korred,15 (+2)
" While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| The kobold has advantage on an attack roll against a creature if at least one of the kobold’s allies is within 5 ft. of the creature and the ally isn’t incapacitated.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.| Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",12,1/8 (25 XP),8 (-1),9 (-1),15 (+2),5 (2d6-2),8 (-1),"Common, Draconic",Kobold,"Small humanoid (kobold), lawful evil",darkvision 60 ft.,30 ft.,7 (-2),http://chisaipete.github.io/bestiary/creature/kobold,7 (-2)
" poisoned| The ki-rin’s innate spellcasting ability is Charisma (spell save DC 17). The ki-rin can innately cast the following spells, requiring no material components:|At will: gaseous form, major image (6th-level version), wind walk|1/day: create food and water| If the ki-rin fails a saving throw, it can choose to succeed instead.| The ki-rin has advantage on saving throws against spells and other magical effects.| The ki-rin’s weapon attacks are magical.| The ki-rin is a 18th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 17, +9 to hit with spell attacks). It has the following cleric spells prepared:|Cantrips (at will): light, mending, sacred flame, spare the dying, thaumaturgy|1st level (4 slots): command, cure wounds, detect evil and good, protection from evil and good, sanctuary|2nd level (3 slots): calm emotions, lesser restoration, silence|3rd level (3 slots): dispel magic, remove curse, sending|4th level (3 slots): banishment, freedom of movement, guardian of faith|5th level (3 slots): greater restoration, mass cure wounds, scrying|6th level (1 slot): heroes’ feast, true seeing|7th level (1 slot): etherealness, plane shift|8th level (1 slot): control weather|9th level (1 slot): true resurrection| The ki-rin makes three attacks: two with its hooves and one with its horn.| Melee Weapon Attack: +9 to hit, reach 15 ft, one target. Hit: 10 (2d4+5) bludgeoning damage.| Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8+5) piercing damage.|The ki-rin can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The ki-rin regains spent legendary actions at the start of its turn.| The ki-rin makes a Wisdom (Perception) check or a Wisdom (Insight) check.| The ki-rin makes a hoof attack or casts sacred flame.| The ki-rin moves up to its half its speed without provoking opportunity attacks.",20 (natural armor),"Insight +9, Perception +9, Religion +8",20 (+5),16 (+3),16 (+3),152 (16d12+48),19 (+4),"blindsight 30 ft., darkvision 120 ft.",Ki-rin,"Huge celestial, lawful good",poison,"60 ft., fly 120 ft. (hover)",21 (+5),http://chisaipete.github.io/bestiary/creature/ki-rin,20 (+5)
" In the first round of a combat, the kenku has advantage on attack rolls against any creature it surprised| The kenku can mimic any sounds it has heard, including voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.| Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",13,1/4 (50 XP),10 (0),10 (0),16 (+3),13 (3d8),11 (0),understands Auran and Common but speaks only through the use of its Mimicry trait,Kenku,"Medium humanoid (kenku), chaotic neutral","Deception +4, Perception +2, Stealth +5",30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/kenku,10 (0)
" bludgeoning, fire, piercing| blinded, deafened, exhaustion| tales from the yawning portal,  page 238| The kelpie can breathe air and water.| The kelpie can use its action to reshape its body into the form of a humanoid or beast that is Small, Medium, or Large. Its statistics are otherwise unchanged. The disguise is convincing, unless the kelpie is in bright light or the viewer is within 30 feet of it, in which case the seams between the seaweed strands are visible. The kelpie returns to its true form if takes a bonus action to do so or if it dies.| While the kelpie remains motionless in its true form, it is indistinguishable from normal seaweed.| The kelpie makes two slam attacks.| Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 11 (2d8 + 2) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 12).| The kelpie chooses one humanoid it can see within 150 feet of it. If the target can see the kelpie, the target must succeed on a DC 11 Wisdom saving throw or be magically charmed while the kelpie maintains concentration, up to 10 minutes (as if concentrating on a spell).",14 (natural armor),"Common, Sylvan",10 (0),16 (+3),14 (+2),67 (9d8+27),7 (-2),"Perception +3, Stealth +4",Kelpie,"Medium plant, neutral evil",blindsight 60 ft.,"10 ft., swim 30 ft.",14 (+2),http://chisaipete.github.io/bestiary/creature/kelpie,12 (+1)
" tales from the yawning portal,  page 238| Kalka-Kylla can breathe air and water.| While Kalka-Kylla remains motionless and hidden in its shell, it is indistinguishable from a polished boulder.| Kalka-Kylla can use a bonus action to retract into or emerge from its shell. While retracted, Kalka-Kylla gains a +4 bonus to AC, and it has a speed of 0 and can’t benefit from bonuses to speed.| Kalka-Kylla makes two claw attacks.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage, and if the target is a Medium or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the target is restrained. Kalka-Kylla has two claws, each of which can grapple only one target.",15 (natural armor),Olman,12 (+1),16 (+3),12 (+1),85 (10d10+30),15 (+2),"Deception +3, Insight +5, Stealth +3",Kalka-Kylla,"Large monstrosity, neutral",blindsight 30 ft.,"30 ft., swim 30 ft.",17 (+3),http://chisaipete.github.io/bestiary/creature/kalka-kylla,16 (+3)
" cold, fire, lightning| blinded, charmed, deafened, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned, unconscious| Any creature, other than an ooze, that starts its turn within 10 feet of Juiblex must succeed on a DC 21 Constitution saving throw or be poisoned until the start of the creature’s next turn.| Juiblex’s spellcasting ability is Charisma. Juiblex can innately cast the following spells, requiring no material components:| If Juiblex fails a saving throw, it can choose to succeed instead.| Juiblex has advantage on saving throws against spells and other magical effects.| Juiblex’s weapon attacks are magical.| Juiblex regains 20 hit points at the start of its turn. If it takes fire or radiant damage, this trait doesn’t function at the start of its next turn. Juiblex dies only if it starts its turn with 0 hit points and doesn’t regenerate.| Juiblex can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.| Juiblex makes three acid lash attacks.| Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 21 (4d6 + 7) acid damage. Any creature killed by this attack is drawn into Juiblex’s body, and the corpse is obliterated after 1 minute.| Juiblex spews out a corrosive slime, targeting one creature that it can see within 60 feet of it. The target must make a DC 21 Dexterity saving throw. On a failure, the target takes 55 (10d10) acid damage. Unless the target avoids taking any of this damage, any metal armor worn by the target takes a permanent -1 penalty to the AC it offers, and any metal weapon it is carrying or wearing takes a permanent -1 penalty to damage rolls. The penalty worsens each time a target is subjected to this effect. If the penalty on an object drops to -5, the object is destroyed.|Juiblex can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Juiblex regains spent legendary actions at the start of its turn.| Juiblex casts acid splash.| Juiblex makes one acid lash attack.| Melee Weapon Attack: +14 to hit, reach 10 ft., one creature. Hit: 21 (4d6 + 7) poison damage, and the target is slimed. Until the slime is scraped off with an action, the target is poisoned, and any creature, other than an ooze, is poisoned while within 10 feet of the target.",18 (natural armor),Perception +12,16 (+3),23 (+6),10 (0),350  (28d12 + 168),20 (+5),"truesight 120 ft., passive Perception 22",Juiblex,"Huge fiend (demon), chaotic evil","poison; bludgeoning, piercing, and slashing from nonmagical attacks",30 ft.,24 (+7),http://chisaipete.github.io/bestiary/creature/juiblex,20 (+5)
" The jackalwere can use its action to polymorph into a specific Medium human or a jackal-humanoid hybrid, or back into its true form (that of a Small jackal). Other than its size, its statistics are the same in each form. Any equipment it is wearing or carrying isn ‘t transformed. It reverts to its true form if it dies.| The jackalwere has advantage on Wisdom (Perception) checks that rely on hearing or smell.| The jackalwere has advantage on an attack roll against a creature if at least one of the wolf’s allies is within 5 ft. of the creature and the ally isn’t incapacitated.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.| The jackalwere gazes at one creature it can see within 30 feet of it. The target must make a DC 10 Wisdom saving throw. On a failed save, the target succumbs to a magical slumber, falling unconscious for 10 minutes or until someone uses an action to shake the target awake. A creature that successfully saves against the effect is immune to this jackalwere’s gaze for the next 24 hours. Undead and creatures immune to being charmed aren’t affected by it.",12,Common (can't speak in jackal form),10 (0),11 (0),15 (+2),18 (4d8),13 (+1),"Deception +4, Perception +2, Stealth +4",Jackalwere,"Medium humanoid (shapechanger), chaotic evil","bludgeoning, piercing, and slashing damage from nonmagical weapons that aren't silvered",40 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/jackalwere,11 (0)
" Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.| When a creature provokes an opportunity attack from the ixitxachitl, the ixitxachitl can make the following attack instead of using its bite.|Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.",15 (natural armor),1/4 (50 XP),7 (-2),13 (+1),16 (+3),18 (4d6+4),12 (+1),"Abyssal, Ixitxachitl",Ixitxachitl,"Small aberration, chaotic evil",darkvision 60 ft.,"0 ft., swim 30 ft.",12 (+1),http://chisaipete.github.io/bestiary/creature/ixitxachitl,13 (+1)
" cold; bludgeoning, piercing, and slashing from nonmagical/nonsilver weapons| poisoned| The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.| Magical darkness doesn’t impede the imp’s darkvision.| The imp has advantage on saving throws against spells and other magical effects.| The imp can serve another creature as a familiar, forming a telepathic bond with its willing master. While the two are bonded, the master can sense what the quasit senses as long as they are within 1 mile of each other. While the imp is within 10 feet of its master, the master shares the quasit’s Magic Resistance trait. At any time and for any reason, the imp can end its service as a familiar, ending the telepathic bond.| Melee Weapon Attack: +5 to hit, reach 5 ft ., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must make on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.| The imp magically turns invisible until it attacks, or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.",13,"Deception +4, Insight +3, Persuasion +4, Stealth +5",14 (+2),13 (+1),17 (+3),10 (3d4+3),11 (0),darkvision 120 ft.,Imp,"Tiny fiend (devil), lawful evil","fire, poison","20 ft., fly 40 ft.",6 (-2),http://chisaipete.github.io/bestiary/creature/imp,12 (+1)
" bludgeoning, piercing, and slashing from nonmagical weapons| charmed, frightened, paralyzed, petrified, poisoned, prone, restrained| Imix’s slam attacks are treated as magical for the purpose of bypassing resistance and immunity to nonmagical weapons.| At the start of each of Imix’s turns, each creature within 10 feet of him takes 17 (5d6) fire damage, and flammable objects in the aura that aren’t being worn or carried ignite. A creature also takes 17 (5d6) fire damage if it touches Imix or hits him with a melee attack while within 10 feet of him, and a creature takes that damage the first time on a turn that Imix moves into its space. Nonmagical weapons that hit Imix are destroyed by fire immediately after dealing damage to him| Imix can enter a hostile creature’s space and stop there. He can move through a space as narrow as 1 inch without squeezing if fire could pass through that space.| Imix sheds bright light in a 60-foot radius and dim light for an additional 60 feet.| If Imix fails a saving throw, he can choose to succeed instead.| Imix’s innate spellcasting ability is Charisma (spell save DC 20, +12 to hit with spell attacks). He can innately cast the following spells, requiring no material components:| Imix has advantage on saving throws against spells and other magical effects.| Imix makes two slam attacks or two flame blast attacks.| Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) bludgeoning damage plus 18 (5d6) fire damage.| Ranged Spell Attack: +12 to hit, range 250 ft., one target. Hit: 35 (10d6) fire damage.| Imix summons up to three fire elementals and loses 30 hit points for each elemental he summons. Summoned elementals have maximum hit points, appear within 100 feet of Imix, and disappear if Imix is reduced to 0 hit points.|The imix can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The imix regains spent legendary actions at the start of its turn.| Imix creates a blast of heat within 300 feet of himself. Each creature in the area in physical contact with metal objects (for example, carrying metal weapons or wearing metal armor) takes 9 (2d8) fire damage. Each creature in the area that isn’t resistant or immune to fire damage must make a DC 21 Constitution saving throw or gain one level of exhaustion.| Imix magically teleports up to 120 feet to an unoccupied space he can see. Anything Imix is wearing or carrying isn’t teleported with him.| Imix causes one creature he can see within 30 feet of him to burst into flames. The target must make a DC 21 Constitution saving throw. On a failed save, the target takes 70 (20d6) fire damage and catches fire. A target on fire takes 10 (3d6) fire damage when it starts its turn, and remains on fire until it or another creature takes an action to douse the flames. On a successful save, the target takes half as much damage and doesn’t catch fire.",17,"Common, Ignan",23 (+6),22 (+6),24 (+7),325 (26d12+156),15 (+2),blindsight 120 ft.,Imix,"Huge elemental, neutral evil","fire, poison","50 ft., fly 50 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/imix,16 (+3)
" The illusionist is a 7th-level spellcaster. its spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). The illusionist has the following wizard spells prepared:|Cantrips (at will): dancing lights, mage hand, minor illusion, poison spray|1st level (4 slots): color spray|, mage armor, magic missile|2nd level (3 slots): invisibility|, phantasmal force|3rd level (3 slots): major image|4th level (1 slot): phantasmal killer*|*Illusion spell of 1st level or higher| As a bonus action, the illusionist projects an illusion that makes the illusionist appear to be standing in a place a few inches from its actual location, causing any creature to have disadvantage on attack rolls against the illusionist. The effect ends if the illusionist takes damage, it is incapacitated, or its speed becomes 0.| Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6-1) bludgeoning damage, or 3 (1d8-1) bludgeoning damage if used with two hands.",12 (15 with mage armor),3 (700 XP),12 (+1),13 (+1),14 (+2),38 (7d8+7),16 (+3),any four languages,Illusionist,"Medium humanoid (any race), any alignment","Arcana +5, History +5",30 ft.,9 (-1),http://chisaipete.github.io/bestiary/creature/illusionist,11 (0)
